Business Unit,PH1,PH2,Item Code,Item Description,Sales Channel,Stat Forecast,Actual Amount,Date,Deviation,Deviation Category,Priority
BU1,Category 6,Category 6G,530355,Item AXK,Channel_X,989.0,0.0,2028-07-01,989.0,Low,3
BU1,Category 6,Category 6G,530355,Item AXK,Channel_X,989.0,0.0,2026-07-01,989.0,Low,3
BU1,Category 6,Category 6G,530355,Item AXK,Channel_X,989.0,0.0,2027-07-01,989.0,Low,3
BU1,Category 11,Category 11G,651592,Item YLW,Channel_X,979.0,0.0,2026-01-01,979.0,Low,3
BU1,Category 11,Category 11G,651592,Item YLW,Channel_X,979.0,0.0,2027-01-01,979.0,Low,3
BU1,Category 11,Category 11G,651592,Item YLW,Channel_X,979.0,0.0,2025-01-01,979.0,Low,3
BU1,Category 1,Category 1T,548025,Item JNO,Channel_X,969.0,0.0,2025-03-01,969.0,Low,3
BU1,Category 1,Category 1T,548025,Item JNO,Channel_X,969.0,0.0,2026-06-01,969.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,875.0,0.0,2025-12-01,875.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,875.0,0.0,2027-12-01,875.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,875.0,0.0,2026-12-01,875.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,869.0,0.0,2027-12-01,869.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,869.0,0.0,2026-12-01,869.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,869.0,0.0,2025-12-01,869.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,849.0,0.0,2027-12-01,849.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,841.0,0.0,2028-06-01,841.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,841.0,0.0,2026-06-01,841.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,841.0,0.0,2027-06-01,841.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,840.0,0.0,2026-12-01,840.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,838.0,0.0,2025-12-01,838.0,Low,3
BU1,Category 7,Category 7F,382017,Item FLH,Channel_X,826.0,0.0,2026-12-01,826.0,Low,3
BU1,Category 7,Category 7F,382017,Item FLH,Channel_X,826.0,0.0,2027-12-01,826.0,Low,3
BU1,Category 7,Category 7F,382017,Item FLH,Channel_X,826.0,0.0,2025-12-01,826.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,818.0,0.0,2025-01-01,818.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,818.0,0.0,2026-01-01,818.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,818.0,0.0,2027-01-01,818.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,785.0,0.0,2027-06-01,785.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,785.0,0.0,2026-06-01,785.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,785.0,0.0,2028-06-01,785.0,Low,3
BU1,Category 1,Category 1T,548025,Item JNO,Channel_X,775.0,0.0,2025-01-01,775.0,Low,3
BU1,Category 1,Category 1T,548025,Item JNO,Channel_X,775.0,0.0,2025-02-01,775.0,Low,3
BU1,Category 1,Category 1T,548025,Item JNO,Channel_X,775.0,0.0,2025-04-01,775.0,Low,3
BU1,Category 1,Category 1T,548025,Item JNO,Channel_X,775.0,0.0,2025-05-01,775.0,Low,3
BU1,Category 6,Category 6G,530355,Item AXK,Channel_X,764.0,0.0,2027-10-01,764.0,Low,3
BU1,Category 6,Category 6G,530355,Item AXK,Channel_X,764.0,0.0,2026-10-01,764.0,Low,3
BU1,Category 6,Category 6G,530355,Item AXK,Channel_X,764.0,0.0,2028-10-01,764.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,729.0,0.0,2028-06-01,729.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,729.0,0.0,2026-06-01,729.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,729.0,0.0,2027-06-01,729.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,725.0,0.0,2025-12-01,725.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,722.0,0.0,2027-12-01,722.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,722.0,0.0,2026-12-01,722.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,688.0,0.0,2027-08-01,688.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,688.0,0.0,2028-08-01,688.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,688.0,0.0,2026-08-01,688.0,Low,3
BU1,Category 6,Category 6A,126278,Item RWR,Channel_X,684.0,0.0,2025-01-01,684.0,Low,3
