Business Unit,PH1,PH2,Item Code,Item Description,Sales Channel,Stat Forecast,Actual Amount,Date
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,37960.0,,2026-09-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,37959.0,,2028-06-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,37959.0,,2027-06-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,37763.0,,2028-09-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,37763.0,,2027-09-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,37743.0,,2028-08-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,37743.0,,2027-08-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,37439.0,,2026-08-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,37407.0,,2027-07-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,37407.0,,2028-07-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,37241.0,,2026-06-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,37062.0,,2026-07-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,33910.0,,2025-03-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,33365.0,,2026-03-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,33365.0,,2027-03-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,33172.0,,2025-02-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,32829.0,,2026-02-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,32829.0,,2027-02-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,32615.0,,2026-05-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,29864.0,,2025-12-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,29475.0,,2026-12-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,28095.0,,2026-01-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,28095.0,,2027-01-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,28056.0,,2025-01-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,26558.0,,2025-11-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,26379.0,,2025-05-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,26251.0,,2025-04-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,26092.0,,2027-05-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,26050.0,,2027-04-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,26050.0,,2026-04-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,25315.0,,2026-11-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,24708.0,,2026-10-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,24187.0,,2027-11-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,23732.0,,2028-10-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,23732.0,,2027-10-01
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,17064.0,,2027-12-01
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,320.0,,2026-09-01
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,320.0,,2027-09-01
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,320.0,,2026-03-01
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,320.0,,2026-06-01
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,320.0,,2027-12-01
