Business Unit,PH1,PH2,Item Code,Item Description,Sales Channel,Month,Year,Stat Forecast,Actual Amount
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Sep,2026," 37,960 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Jun,2028," 37,959 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Jun,2027," 37,959 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Sep,2028," 37,763 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Sep,2027," 37,763 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Aug,2028," 37,743 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Aug,2027," 37,743 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Aug,2026," 37,439 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Jul,2027," 37,407 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Jul,2028," 37,407 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Jun,2026," 37,241 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Jul,2026," 37,062 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Mar,2025," 33,910 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Mar,2026," 33,365 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Mar,2027," 33,365 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Feb,2025," 33,172 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Feb,2026," 32,829 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Feb,2027," 32,829 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,May,2026," 32,615 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Dec,2025," 29,864 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Dec,2026," 29,475 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Jan,2026," 28,095 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Jan,2027," 28,095 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Jan,2025," 28,056 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Nov,2025," 26,558 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,May,2025," 26,379 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Apr,2025," 26,251 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,May,2027," 26,092 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Apr,2027," 26,050 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Apr,2026," 26,050 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Nov,2026," 25,315 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Oct,2026," 24,708 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Nov,2027," 24,187 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Oct,2028," 23,732 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Oct,2027," 23,732 ", -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Dec,2027," 17,064 ", -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Sep,2026, 320 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Sep,2027, 320 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Mar,2026, 320 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Jun,2026, 320 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Dec,2027, 320 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Jun,2028, 320 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Sep,2028, 320 , -   
